employee_id,pay_code,amount,hours
ABC000053,REG,,26.0
ABC000053,COMM,348.02,
ABC000053,TIPS,50.6,
ABC000060,COMM,204.25,
ABC000147,REG,,25.0
ABC000147,COMM,505.74,
ABC000147,TIPS,229.25,
RM8000052,REG,,24.5
RM8000052,COMM,857.16,
RM8000052,TIPS,15.8,
RM8000054,REG,,23.0
RM8000054,COMM,1075.42,
RM8000054,TIPS,26.17,
RM8000055,REG,,20.0
RM8000055,COMM,1150.78,
RM8000055,TIPS,112.4,
RM8000059,REG,,22.5
RM8000059,COMM,654.3,
RM8000059,TIPS,128.63,
RM8000068,REG,,34.5
RM8000068,COMM,656.06,
RM8000068,TIPS,418.88,
RM8000078,REG,,38.5
RM8000078,COMM,1242.66,
RM8000078,TIPS,355.55,
RM8000082,REG,,40.0
RM8000082,COMM,1500.44,
RM8000082,TIPS,826.7,
RM8000091,TIPS,180.5,
RM8000094,REG,,20.5
RM8000094,COMM,540.09,
RM8000094,TIPS,230.9,
RM8000101,REG,,39.5
RM8000101,COMM,918.09,
RM8000101,TIPS,512.69,
RM8000104,REG,,13.41
RM8000104,COMM,123.76,
RM8000104,TIPS,88.55,
RM8000110,REG,,29.65
RM8000110,TIPS,307.3,
RM8000111,REG,,35.5
RM8000111,COMM,998.77,
RM8000111,TIPS,648.07,
RM8000124,REG,,30.0
RM8000124,COMM,728.28,
RM8000124,TIPS,122.45,
RM8000128,REG,,25.51
RM8000128,TIPS,164.0,
RM8000132,REG,,29.0
RM8000132,COMM,1145.61,
RM8000132,TIPS,572.75,
RM8000136,REG,,37.5
RM8000136,COMM,704.75,
RM8000136,TIPS,338.01,
RM8000138,REG,,37.5
RM8000138,COMM,2384.57,
RM8000138,TIPS,927.3,
RM8000139,REG,,24.5
RM8000139,COMM,1288.06,
RM8000139,TIPS,499.5,
RM8000142,REG,,22.5
RM8000142,COMM,464.74,
RM8000142,TIPS,112.24,
RM8000144,REG,,36.5
RM8000144,COMM,11.6,
RM8000144,TIPS,674.35,
RM8000149,REG,,16.9
RM8000149,TIPS,73.25,
RM8000156,REG,,40.0
RM8000156,COMM,1262.02,
RM8000156,TIPS,773.46,
RM8000157,REG,,37.5
RM8000157,COMM,1510.6,
RM8000157,TIPS,720.12,
RM8000163,REG,,31.91
RM8000163,COMM,8.8,
RM8000163,TIPS,34.96,
RM8000165,REG,,40.0
RM8000165,COMM,28.0,
RM8000165,TIPS,714.85,
RM8000171,REG,,17.57
RM8000171,TIPS,79.3,
RM8000172,REG,,34.1
RM8000172,COMM,23.2,
RM8000172,TIPS,277.73,
RM8000177,REG,,40.0
RM8000177,COMM,1566.48,
RM8000177,TIPS,818.46,
RM8000179,REG,,38.5
RM8000179,COMM,892.47,
RM8000179,TIPS,538.48,
RM8000180,REG,,14.58
RM8000180,COMM,20.4,
RM8000180,TIPS,162.91,
RM8000181,REG,,38.5
RM8000181,COMM,598.16,
